block_id,residential_units,population,jobs10,jobs11,x,y
7549224,19.0,30.0,4.0,5.0,-93.2380302186198,44.9350202022576
7539313,1.0,200.0,230.0,219.0,-93.2393144174178,44.9350191094301
7553404,23.0,47.0,16.0,23.0,-93.2365540032384,44.9350165427411
7546792,0.0,0.0,0.0,0.0,-93.2286179721338,44.9349876625058
7542658,0.0,0.0,0.0,0.0,-93.2273000260298,44.9391830367667
7552139,0.0,0.0,0.0,0.0,-93.2295466243908,44.9376643642453
7544984,0.0,0.0,0.0,0.0,-93.2304740764848,44.9377196729158
7542179,30.0,66.0,47.0,52.0,-93.2237448171527,44.9350303547895
7549325,34.0,74.0,0.0,2.0,-93.2236357042134,44.9404736796911
7544985,50.0,138.0,2.0,2.0,-93.2277943746955,44.9405834477898
7549281,64.0,165.0,6.0,4.0,-93.2293337272373,44.9404433111106
7547324,0.0,0.0,22.0,20.0,-93.2276850539642,44.9349794686353
7554338,40.0,67.0,1.0,4.0,-93.2263964141363,44.9459132894753
7547322,32.0,67.0,2.0,3.0,-93.2236372090943,44.9459132207588
7549469,23.0,57.0,2.0,2.0,-93.2236445440052,44.9440875342694
7556909,29.0,62.0,2.0,2.0,-93.2250186291436,44.9440799360509
7546709,0.0,0.0,207.0,147.0,-93.2353632225155,44.9465308707895
7551452,0.0,0.0,7.0,7.0,-93.2365516245737,44.9465708488447
7549701,0.0,0.0,12.0,0.0,-93.2314788589459,44.9404208591388
7547320,71.0,103.0,3.0,4.0,-93.230593531728,44.9441575010284
7549548,7.0,13.0,10.0,11.0,-93.2321232976783,44.9461505100724
7544869,6.0,15.0,19.0,33.0,-93.232229560364,44.9421411121093
7552141,27.0,64.0,0.0,5.0,-93.2277187510719,44.9422604163152
7544944,32.0,69.0,0.0,2.0,-93.2159602128968,44.9368389955333
7544123,0.0,0.0,66.0,196.0,-93.2334994119411,44.9421429738293
7556904,0.0,0.0,44.0,2.0,-93.2277597644361,44.9459169983548
7540521,0.0,0.0,96.0,8.0,-93.2323308616149,44.940434614186
7556369,0.0,0.0,0.0,0.0,-93.219127288964,44.9405102440065
7556796,31.0,74.0,1.0,3.0,-93.2223169628998,44.9404847885351
7556461,30.0,65.0,6.0,4.0,-93.2223172213,44.9386754995032
7548849,20.0,39.0,18.0,18.0,-93.218470475277,44.9475841949811
7548617,20.0,38.0,34.0,32.0,-93.2197457247604,44.9475889973573
7542031,29.0,44.0,30.0,29.0,-93.221023272691,44.9475937273857
7547323,19.0,36.0,45.0,39.0,-93.2223047696719,44.9475982761875
7544631,0.0,0.0,0.0,0.0,-93.2108469956562,44.9350810113246
7549365,0.0,0.0,0.0,0.0,-93.2015047953123,44.9395821753586
7542211,31.0,62.0,1.0,1.0,-93.2121210724862,44.9387749472234
7554061,0.0,0.0,0.0,0.0,-93.2043760205164,44.9361110816336
7555851,0.0,0.0,0.0,0.0,-93.2017050609738,44.9360738584137
7542181,20.0,46.0,2.0,2.0,-93.2063681081922,44.9370062819108
7525862,24.0,50.0,0.0,1.0,-93.2070122143955,44.9388189744755
7556420,12.0,20.0,2.0,1.0,-93.2070227061508,44.9364147309865
7549239,0.0,0.0,1.0,1.0,-93.2058988197396,44.940765354634
7557044,0.0,0.0,0.0,0.0,-93.3109658051503,44.9472016509171
7538728,0.0,0.0,0.0,0.0,-93.3066620065442,44.9414633498709
7544531,23.0,44.0,0.0,10.0,-93.2070303295416,44.9351131881202
7554062,18.0,49.0,11.0,1.0,-93.2058132111768,44.9350747749924
7545451,0.0,0.0,0.0,0.0,-93.3204803014144,44.9355972619042
7552628,0.0,0.0,0.0,0.0,-93.310830125895,44.9319183031638
7540929,0.0,0.0,0.0,0.0,-93.3103487162273,44.9307025389149
7543213,0.0,0.0,1.0,0.0,-93.3088441530425,44.9297083030726
7552689,0.0,0.0,0.0,0.0,-93.3105510486734,44.9252120728746
7547820,31.0,68.0,3.0,3.0,-93.3138399680863,44.9278065762341
7550248,123.0,185.0,120.0,166.0,-93.3129870261416,44.9259582804142
7547878,297.0,358.0,167.0,179.0,-93.3129723593254,44.9239001539203
7552625,20.0,52.0,3.0,2.0,-93.3147038410199,44.9332002278707
7555062,77.0,136.0,0.0,0.0,-93.297731509795,44.9404195459773
7552744,37.0,66.0,114.0,120.0,-93.2977484414515,44.9386102462365
7498496,42.0,81.0,1.0,1.0,-93.296474441484,44.9386107462314
7555117,130.0,161.0,3.0,6.0,-93.2951971937677,44.9386108928708
7542532,0.0,0.0,0.0,0.0,-93.2750027282426,44.9368345284188
7555395,0.0,0.0,0.0,0.0,-93.2749965542243,44.9350248412522
7555121,129.0,151.0,15.0,14.0,-93.2901126095829,44.9386163181689
7552780,34.0,62.0,13.0,12.0,-93.2888375139497,44.938618689037
7541187,56.0,168.0,3.0,4.0,-93.2772774222674,44.9368221928068
7533846,52.0,108.0,2.0,4.0,-93.2788385858385,44.9368142216939
7548217,40.0,100.0,1.0,1.0,-93.2805804914111,44.936813642334
7543490,28.0,64.0,8.0,9.0,-93.278831335715,44.9350053246011
7550687,39.0,132.0,12.0,13.0,-93.2772674821989,44.9350049892781
7555340,0.0,0.0,0.0,0.0,-93.2750100810735,44.9404516456582
7555126,92.0,174.0,14.0,21.0,-93.2849970665439,44.934999404543
7538992,67.0,102.0,15.0,15.0,-93.2837126007514,44.9349986778382
7553011,31.0,53.0,67.0,66.0,-93.2822362803387,44.935003247865
7552731,41.0,85.0,20.0,20.0,-93.2875365256447,44.9404283187103
7538973,0.0,0.0,0.0,0.0,-93.2750044736282,44.938641995009
7538972,0.0,0.0,0.0,0.0,-93.2743656872222,44.9404510222497
7555341,0.0,0.0,0.0,0.0,-93.274359709491,44.9386417448955
7548214,61.0,124.0,38.0,33.0,-93.2788380030986,44.9386298027805
7549212,31.0,101.0,3.0,9.0,-93.2679175904355,44.9404974285163
7555407,26.0,77.0,15.0,6.0,-93.2695566126311,44.9404684923638
7543536,31.0,118.0,8.0,5.0,-93.2721110955965,44.9386499737827
7550694,34.0,122.0,13.0,18.0,-93.2695194536345,44.9368582513579
7550665,0.0,0.0,87.0,58.0,-93.2714727106142,44.9404601920225
7548254,0.0,0.0,0.0,0.0,-93.274354133043,44.9368365727304
7541122,0.0,0.0,0.0,0.0,-93.2743480284739,44.9350284065805
7524369,15.0,65.0,100.0,112.0,-93.271435622062,44.935044848098
7551636,56.0,195.0,10.0,9.0,-93.2466942526199,44.9350238561227
7551637,27.0,64.0,14.0,13.0,-93.2454244426066,44.9350232478452
