index,x,y
261,-94.034345,45.258725
262,-94.034309,44.97857
263,-94.034215,45.316738
264,-94.034143,44.634754
265,-94.034059,45.416094
266,-94.033932,44.774221
267,-94.0339,44.773591
268,-94.033725,45.317145
269,-94.033622,45.332191
270,-94.0335829,45.2354841
271,-94.033557,45.128168
272,-94.033511,45.341921
273,-94.033506,45.340575
274,-94.033467,45.128429
275,-94.033447,45.28964
276,-94.033421,45.262372
277,-94.0334097,45.2293313
278,-94.033403,45.307888
279,-94.03325,45.341639
280,-94.0331197,44.9647294
281,-94.033032,45.331329
282,-94.033008,45.268057
283,-94.032928,44.827681
284,-94.032925,44.978558
285,-94.032925,44.978704
286,-94.032893,44.971332
287,-94.032892,44.773604
288,-94.032888,44.938295
289,-94.032881,44.996579
290,-94.032823,44.982219
291,-94.032809,45.341794
292,-94.0328058,45.0644301
293,-94.032767,44.925823
294,-94.032752,45.224709
295,-94.032745,44.90751
296,-94.03274,44.906315
297,-94.032732,45.033006
298,-94.032689,45.202651
299,-94.032682,45.201904
300,-94.032627,45.318812
301,-94.03257,45.195712
302,-94.03253,45.051159
303,-94.032518,45.268057
304,-94.03249,45.130664
305,-94.032487,45.137889
306,-94.032484,44.907554
307,-94.032483,44.875735
308,-94.032479,45.152246
309,-94.032474,44.671935
310,-94.032464,45.12343
311,-94.032458,45.128661
312,-94.032435,45.116068
313,-94.032418,45.144976
314,-94.032374,45.108775
315,-94.032346,45.188376
316,-94.03234,45.112433
317,-94.032294,45.184962
318,-94.032282,45.159494
319,-94.032271,45.181167
320,-94.032263,45.049308
321,-94.03224,44.55708
322,-94.032222,45.308833
323,-94.032212,45.166899
324,-94.032156,45.268494
325,-94.032153,45.304322
326,-94.032146,45.173943
327,-94.032139,45.332058
328,-94.032122,45.094485
329,-94.032063,44.967395
330,-94.031987,44.967509
331,-94.03171,44.876151
332,-94.031439,45.296002
333,-94.031372,45.312019
334,-94.031368,44.87595
335,-94.031284,44.843017
336,-94.031283,44.967091
337,-94.03127,44.996578
338,-94.031223,44.964926
339,-94.031213,44.908057
340,-94.031186,44.906306
341,-94.031183,44.967197
342,-94.031145,44.572285
343,-94.031081,44.577155
344,-94.03106,44.602927
345,-94.031047,44.579808
346,-94.031033,45.300193
347,-94.031025,44.60486
348,-94.0310114,44.6373326
349,-94.030997,44.58373
350,-94.030948,45.231585
351,-94.030921,44.629993
352,-94.030917,44.717431
353,-94.030912,44.590417
354,-94.0309,45.413868
355,-94.030883,44.70252
356,-94.0308381,44.6488438
357,-94.030837,44.675827
358,-94.030785,44.644421
359,-94.030782,44.713514
360,-94.030781,44.651578
361,-94.0307708,44.9645539
362,-94.030738,44.731868
363,-94.03069,45.333329
364,-94.0306594,45.2298273
365,-94.030593,44.665217
366,-94.030581,44.666142
367,-94.030581,44.746286
368,-94.030553,44.671693
369,-94.030545,44.67339
370,-94.030538,44.687909
371,-94.030524,44.775221
372,-94.0305215,44.8854902
373,-94.030517,44.884265
374,-94.030508,44.883849
375,-94.030506,44.883789
376,-94.030493,44.883229
377,-94.030456,44.768221
378,-94.030452,44.767976
379,-94.030445,44.880321
380,-94.030438,44.881777
381,-94.030431,44.87956
382,-94.0303866,44.9643271
383,-94.030364,44.875936
384,-94.03028,44.854799
385,-94.030269,44.869379
386,-94.0301875,44.9642238
387,-94.030149,45.332114
388,-94.030147,44.51373
389,-94.030073,44.967519
390,-94.0297292,45.2532308
391,-94.029705,45.319675
392,-94.029603,44.8846168
393,-94.0295981,44.8854855
394,-94.02955,45.000734
395,-94.029537,44.529161
396,-94.02953,44.543178
397,-94.029468,45.340324
398,-94.029444,44.966714
399,-94.0294298,45.065525
400,-94.0294081,45.0647594
401,-94.029394,44.966031
402,-94.029373,45.333534
403,-94.029296,44.967863
404,-94.029165,45.000443
405,-94.029163,44.583786
406,-94.029153,44.953568
407,-94.02912,44.967296
408,-94.028928,45.412628
409,-94.028866,44.96727
410,-94.028774,44.967875
411,-94.028763,45.324686
412,-94.028762,45.267988
413,-94.0287057,44.964147
414,-94.028526,45.417071
415,-94.028231,45.312738
416,-94.028229,45.312044
417,-94.028093,44.967584
418,-94.028066,44.579878
419,-94.028028,45.22462
420,-94.028027,45.218906
421,-94.028014,45.413607
422,-94.028009,44.600746
423,-94.027852,44.971317
424,-94.027833,45.4255645
425,-94.027804,44.967374
426,-94.027803,44.96725
427,-94.027794,44.604836
428,-94.0277881,44.9641465
429,-94.027787,44.966152
430,-94.027782,44.965762
431,-94.027742,45.321384
432,-94.027719,45.173942
433,-94.027716,44.95136
434,-94.027308,44.700469
435,-94.027288,45.412178
436,-94.027193,44.577096
437,-94.02701,44.646384
438,-94.026998,45.41708
439,-94.026989,44.644441
440,-94.026916,45.412176
441,-94.026888,44.54321
442,-94.026885,44.702555
443,-94.026809,45.417082
444,-94.026788,45.267146
445,-94.026773,44.879325
446,-94.026549,44.545733
447,-94.026547,45.269023
448,-94.026447,45.304214
449,-94.026328,44.956124
450,-94.026312,44.67659
451,-94.026284,44.954427
452,-94.026078,44.629991
453,-94.025926,45.331368
454,-94.025832,44.906267
455,-94.0258283,44.8845929
456,-94.0258259,44.8854666
457,-94.025792,44.625839
458,-94.025728,44.631533
459,-94.025728,45.314899
460,-94.025584,44.956174
461,-94.025573,44.803261
462,-94.025473,45.306271
463,-94.025405,44.673446
464,-94.025317,45.331103
465,-94.025294,45.331782
466,-94.025178,45.305801
467,-94.025113,45.2543738
468,-94.025111,45.36179
469,-94.025038,44.909304
470,-94.024672,45.383751
471,-94.024577,45.380711
472,-94.02454,45.2457835
473,-94.024463,44.735793
474,-94.024353,45.333381
475,-94.024338,45.376924
476,-94.024301,45.331326
477,-94.024252,45.330638
478,-94.024042,45.2422273
479,-94.024038,44.688
480,-94.023966,44.543245
481,-94.02394,44.545697
482,-94.023887,44.689855
483,-94.023684,44.94965
484,-94.023673,44.550424
485,-94.0236055,45.233081
486,-94.023564,44.731867
487,-94.023476,45.280926
488,-94.023425,44.62999
489,-94.023419,45.328591
490,-94.023262,44.68801
491,-94.023225,45.303923
492,-94.02304,45.33011
493,-94.0229911,44.8854524
494,-94.022962,45.276148
495,-94.022952,44.887004
496,-94.022934,45.224708
497,-94.022931,45.222423
498,-94.0229111,45.2592136
499,-94.022773,44.982376
500,-94.022751,45.267163
501,-94.022688,44.938668
502,-94.022686,44.607462
503,-94.022654,44.604816
504,-94.022625,44.686705
505,-94.022592,45.1884596
506,-94.022587,45.303628
507,-94.022564,45.001863
508,-94.022562,45.1850996
509,-94.022551,44.949638
510,-94.02251,44.989373
511,-94.022508,44.906256
512,-94.022495,44.98969
513,-94.02249,45.014781
514,-94.0224465,45.1884628
515,-94.022435,45.051111
516,-94.022422,45.040265
